"Date","Open","High","Low","Close"
"3/23/2019 14:00","135.87","135.87","135.52","135.82"
"3/23/2019 15:00","135.82","136.05","135.78","136.05"
"3/23/2019 16:00","136.05","136.31","136","136.01"
"3/23/2019 17:00","136.01","136.24","135.9","136.05"
"3/23/2019 18:00","136.05","136.17","135.88","136.17"
"3/23/2019 19:00","136.17","136.22","135.87","135.87"
"3/23/2019 20:00","135.87","135.87","135.78","135.79"
"3/23/2019 21:00","135.79","136.17","135.79","136.14"
"3/23/2019 22:00","136.14","136.17","136.11","136.17"
"3/23/2019 23:00","136.17","136.59","136.17","136.54"
"3/24/2019 0:00","136.54","136.56","136.2","136.2"
"3/24/2019 1:00","136.2","136.2","135.78","135.89"
"3/24/2019 2:00","135.89","135.91","135.16","135.29"
"3/24/2019 3:00","135.29","136.01","135.29","136.01"
"3/24/2019 4:00","136.01","136.02","135.74","135.74"
"3/24/2019 5:00","135.74","135.74","135.37","135.37"
"3/24/2019 6:00","135.37","135.71","135.18","135.7"
"3/24/2019 7:00","135.7","135.7","135.44","135.63"
"3/24/2019 8:00","135.63","135.88","135.48","135.88"
"3/24/2019 9:00","135.88","136.51","135.88","136.34"
"3/24/2019 10:00","136.34","136.34","136","136.1"
"3/24/2019 11:00","136.1","136.29","135.78","136.13"
"3/24/2019 12:00","136.13","136.13","135.8","135.9"
"3/24/2019 13:00","135.9","136.27","135.8","136.27"
"3/24/2019 14:00","136.27","136.27","135.7","136.05"
"3/24/2019 15:00","136.05","136.17","135.67","135.68"
"3/24/2019 16:00","135.68","135.94","135.38","135.84"
"3/24/2019 17:00","135.84","135.84","132.33","134.92"
"3/24/2019 18:00","134.92","135.1","134.6","134.7"
"3/24/2019 19:00","134.7","134.86","134.49","134.77"
"3/24/2019 20:00","134.77","134.79","134.49","134.77"
"3/24/2019 21:00","134.77","135.25","134.76","135.25"
"3/24/2019 22:00","135.25","135.83","134.94","135.44"
"3/24/2019 23:00","135.44","135.66","135.4","135.45"
"3/25/2019 0:00","135.45","135.45","135.07","135.13"
"3/25/2019 1:00","135.13","135.5","135.08","135.46"
"3/25/2019 2:00","135.46","136.13","135.21","135.21"
"3/25/2019 3:00","135.21","135.67","135.21","135.61"
"3/25/2019 4:00","135.61","135.62","135.48","135.53"
"3/25/2019 5:00","135.53","135.53","135.16","135.41"
"3/25/2019 6:00","135.41","135.62","135.31","135.57"
"3/25/2019 7:00","135.57","135.57","135","135.42"
"3/25/2019 8:00","135.42","135.42","135.05","135.1"
"3/25/2019 9:00","135.1","135.28","135.08","135.27"
"3/25/2019 10:00","135.27","135.27","134.52","135.2"
"3/25/2019 11:00","135.2","135.25","135.18","135.25"
"3/25/2019 12:00","135.25","135.25","134.57","134.63"
"3/25/2019 13:00","134.63","134.88","134.38","134.68"
"3/25/2019 14:00","134.68","134.68","134.57","134.57"
"3/25/2019 15:00","134.57","134.61","133.1","133.6"
"3/25/2019 16:00","133.6","133.7","132.72","133.7"
"3/25/2019 17:00","133.7","133.95","133.22","133.42"
"3/25/2019 18:00","133.42","133.42","131.95","131.95"
"3/25/2019 19:00","131.95","132.32","130.69","132.19"
"3/25/2019 20:00","132.19","132.27","131.38","131.8"
"3/25/2019 21:00","131.8","132.18","131.72","132.03"
"3/25/2019 22:00","132.03","133.15","132.03","133.06"
"3/25/2019 23:00","133.06","133.48","132.4","133.07"
"3/26/2019 0:00","133.07","133.48","133.07","133.32"
"3/26/2019 1:00","133.32","133.48","133.22","133.47"
"3/26/2019 2:00","133.47","133.52","133.36","133.52"
"3/26/2019 3:00","133.52","133.76","133","133.37"
"3/26/2019 4:00","133.37","133.44","133.2","133.35"
"3/26/2019 5:00","133.35","133.4","133.17","133.18"
"3/26/2019 6:00","133.18","133.18","132.57","132.8"
"3/26/2019 7:00","132.8","132.8","132.6","132.72"
"3/26/2019 8:00","132.72","133.23","132.72","133.23"
"3/26/2019 9:00","133.23","133.35","132.99","133"
"3/26/2019 10:00","133","133.13","132.91","132.91"
"3/26/2019 11:00","132.91","132.91","132.53","132.65"
"3/26/2019 12:00","132.65","132.65","131.98","132.07"
"3/26/2019 13:00","132.07","132.42","131.66","131.77"
"3/26/2019 14:00","131.77","132.91","131.77","132.77"
"3/26/2019 15:00","132.77","132.91","132.56","132.85"
"3/26/2019 16:00","132.85","132.95","131.56","132.38"
"3/26/2019 17:00","132.38","132.8","132.38","132.65"
"3/26/2019 18:00","132.65","132.95","132.57","132.95"
"3/26/2019 19:00","132.95","133.61","132.95","133.14"
"3/26/2019 20:00","133.14","133.48","133.13","133.21"
"3/26/2019 21:00","133.21","133.27","132.65","132.78"
"3/26/2019 22:00","132.78","133.24","132.76","133.23"
"3/26/2019 23:00","133.23","133.28","133.09","133.15"
"3/27/2019 0:00","133.15","134.79","133.06","134.79"
"3/27/2019 1:00","134.79","137","134.75","135.97"
"3/27/2019 2:00","135.97","136.5","135.97","136.5"
"3/27/2019 3:00","136.5","136.51","136.1","136.14"
"3/27/2019 4:00","136.14","137.19","136.14","136.36"
"3/27/2019 5:00","136.36","137.59","136.36","137.47"
"3/27/2019 6:00","137.47","137.47","136.51","136.51"
"3/27/2019 7:00","136.51","136.98","136.51","136.78"
"3/27/2019 8:00","136.78","136.9","136.46","136.77"
"3/27/2019 9:00","136.77","137","136.67","137"
"3/27/2019 10:00","137","138.34","136.78","137.91"
"3/27/2019 11:00","137.91","138.56","137.73","138.52"
"3/27/2019 12:00","138.52","138.52","137.53","137.53"
"3/27/2019 13:00","137.53","138.02","137.52","137.75"
"3/27/2019 14:00","137.75","138.02","137.58","137.66"
"3/27/2019 15:00","137.66","137.85","137.11","137.84"
"3/27/2019 16:00","137.84","137.94","137.3","137.48"
"3/27/2019 17:00","137.48","137.65","137.3","137.65"
"3/27/2019 18:00","137.65","138.02","137.55","137.55"
"3/27/2019 19:00","137.55","137.87","137.32","137.87"
