Date,Open,High,Low,Close,Market Cap
4/9/2017,1184.5,1217.49,1180.9,1210.08,19257594811
4/10/2017,1210.08,1216.99,1202.8,1210.64,19603951453
4/11/2017,1210.64,1232.62,1200.63,1223.76,19694657362
4/12/2017,1223.76,1226.5,1210.69,1218.12,19866055424
4/13/2017,1218.12,1221.48,1153.36,1177.88,19815506069
4/14/2017,1177.88,1193.08,1170.11,1175.5,19201210750
4/15/2017,1175.5,1194.54,1170,1174.69,19268194061
4/16/2017,1174.69,1183.99,1166.51,1178.01,19283760218
4/17/2017,1178.01,1196.38,1175.06,1193.81,19364543546
4/18/2017,1193.81,1209.27,1193.81,1204,19577576375
4/19/2017,1204,1211.45,1189.18,1211.45,19945935308
4/20/2017,1211.45,1244.73,1210.6,1238.45,19879736609
4/21/2017,1238.45,1256,1237.5,1250,20306222252
4/22/2017,1250,1250,1226,1247.66,20422018520
4/23/2017,1247.66,1250.48,1235.46,1247.83,20474623026
4/24/2017,1247.83,1259.91,1240.21,1255.71,20479470599
4/25/2017,1255.71,1282.87,1253.96,1282.56,20492009014
4/26/2017,1282.56,1314.05,1278.89,1294.91,20790559482
4/27/2017,1294.91,1370,1293.07,1346.04,21196321753
4/28/2017,1346.04,1367.65,1300,1347.19,21718770635
4/29/2017,1347.19,1355.1,1330.9,1351.08,21709626544
4/30/2017,1351.08,1363.84,1325,1362.63,21928991260
5/1/2017,1362.63,1480,1352.8,1440.82,22078261169
5/2/2017,1440.82,1489.61,1421.11,1464.94,23147003880
5/3/2017,1464.94,1535.6,1444.99,1517.95,23784323660
5/4/2017,1517.95,1650,1475.01,1550,24504975259
5/5/2017,1550,1626.73,1521.24,1546.93,25185853703
5/6/2017,1546.93,1585.6,1546.92,1580.99,24886722896
5/7/2017,1580.99,1609,1566.14,1602.17,25410693098
5/8/2017,1602.17,1686.39,1602.17,1686.39,25476764219
5/9/2017,1686.39,1779,1681.93,1719.51,26806365358
5/10/2017,1719.51,1796.01,1698,1793.26,28184103646
5/11/2017,1793.26,1884,1775,1834.1,28772472957
5/12/2017,1834.1,1838.59,1657.86,1694.64,29701049516
5/13/2017,1694.64,1781.71,1602.36,1781.71,27627171201
5/14/2017,1781.71,1817.57,1754.83,1794.01,28738561854
5/15/2017,1794.01,1794.01,1667,1742.67,29023871040
5/16/2017,1742.67,1770,1701.01,1769.71,28023844628
5/17/2017,1769.71,1837.36,1750,1812.57,28420331758
5/18/2017,1812.57,1895.55,1808.15,1895.55,29623924385
5/19/2017,1895.55,1965.23,1894.64,1965.01,30837951406
5/20/2017,1965.01,2045,1965.01,2044.4,31971407574
5/21/2017,2044.4,2089.44,1981.37,2026,33322849268
5/22/2017,2026,2249,1998.5,2101.33,33345064727
5/23/2017,2101.33,2264,2101.33,2261.22,35053487681
5/24/2017,2261.22,2479,2261.22,2436.45,37086924346
5/25/2017,2436.45,2779,2199.6,2330.84,39995340676
5/26/2017,2330.84,2628.71,2055.55,2267.37,38785057236
5/27/2017,2267.37,2342.1,1910.55,2096.77,35820081858
5/28/2017,2096.77,2323.99,2095.61,2230.77,33685338006
5/29/2017,2230.77,2340.1,2150,2284.3,35329628841
5/30/2017,2284.3,2324.27,2151.21,2197.33,37134590853
5/31/2017,2197.33,2325.89,2179.98,2303.62,35988110367
6/1/2017,2303.62,2459,2300,2412.34,37769594226
6/2/2017,2412.34,2484.04,2375,2484.04,39446306226
6/3/2017,2484.04,2589.69,2461.36,2554.91,40524447336
6/4/2017,2554.91,2566.26,2483.03,2520.05,41506394066
6/5/2017,2520.05,2700.2,2520.04,2689.43,41449772570
6/6/2017,2689.43,2924,2689.4,2880.23,43993171821
6/7/2017,2880.23,2884.98,2618.28,2690,47064391640
6/8/2017,2690,2815.39,2610.67,2800,44430770113
6/9/2017,2800,2854.12,2794.31,2807.01,45790541115
6/10/2017,2807.01,2903.96,2803,2903.77,46240271662
6/11/2017,2903.77,2960,2859.76,2960,47470780844
6/12/2017,2960,2975,2470,2656.3,48749258784
6/13/2017,2656.3,2772.03,2647.56,2715.86,42593399591
6/14/2017,2715.86,2800,2341.2,2459.56,44584724768
6/15/2017,2459.56,2510.38,2059.41,2416.16,40760994615
6/16/2017,2416.16,2508.23,2310.81,2484.64,39181313016
6/17/2017,2484.64,2664.89,2430.32,2638.24,40933942863
6/18/2017,2638.24,2663.66,2458.59,2519.87,43328808250
6/19/2017,2519.87,2594.99,2491.12,2594.99,41584675093
6/20/2017,2594.99,2786,2589.67,2734.14,42747048438
6/21/2017,2734.14,2769.99,2586.27,2645.1,45103769378
6/22/2017,2645.1,2726.96,2595,2689.58,43806590165
6/23/2017,2689.58,2729.34,2672.24,2684.63,44529804694
6/24/2017,2684.63,2710.51,2510.01,2572.96,44599059625
6/25/2017,2572.96,2636.55,2429.42,2497.6,42237422347
6/26/2017,2497.6,2549.72,2275.27,2415.62,41580634203
6/27/2017,2415.62,2573.77,2269.46,2573.77,39602776894
6/28/2017,2573.77,2596.26,2466.62,2554.97,41312366506
6/29/2017,2554.97,2589.51,2503.01,2549.89,41914703545
6/30/2017,2549.89,2549.9,2441.14,2456.01,41808368313
7/1/2017,2456.01,2500,2385,2416.12,40778976869
7/2/2017,2416.12,2541.87,2375.03,2507.84,39726161999
7/3/2017,2507.84,2584,2477.13,2540.94,41032984834
7/4/2017,2540.94,2631.32,2540.93,2606.64,41960640994
7/5/2017,2606.64,2650,2550.01,2625.06,42586848468
7/6/2017,2625.06,2645.54,2579.79,2605.53,42975651806
7/7/2017,2605.53,2609.87,2457.12,2493.79,42678273717
